id,label
0,0
1,1
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,1
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,0
583,0
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,0
605,1
606,1
607,0
608,0
609,0
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,1
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,1
635,0
636,1
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,1
685,0
686,0
687,1
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,1
703,0
704,1
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,0
744,0
745,0
746,1
747,1
748,0
749,1
750,0
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,0
761,0
762,1
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,0
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,0
809,0
810,0
811,0
812,0
813,0
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,0
824,0
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,0
852,1
853,1
854,1
855,0
856,0
857,0
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,0
879,0
880,0
881,0
882,0
883,1
884,1
885,1
886,1
887,0
888,1
889,1
890,1
891,1
892,0
893,0
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,0
909,1
910,1
911,0
912,0
913,1
914,1
915,1
916,0
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,0
946,0
947,0
948,0
949,0
950,0
951,1
952,1
953,0
954,1
955,1
956,1
957,0
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,0
966,1
967,1
968,1
969,1
970,1
971,0
972,0
973,0
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,0
982,0
983,1
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,1
1022,0
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,0
1034,0
1035,1
1036,1
1037,1
1038,0
1039,1
1040,0
1041,0
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
